No,LFW,character,GHC,GX,rhyme,meaning,page number,character number
975,2944,𗂋,njar¹,rnar¹,1.82,彈,03.06A.3,11
976,2716,𗹠,rjijr¹,rer¹,1.74,擅,03.06A.3,12
977,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.06A.3,13
978,3379,𗺹,xew¹,hi̱w¹,1.43,侯,03.06A.3,14
979,1338,𘟠,dzu¹,dzu̱¹,1.01,愛,03.06A.3,15
980,433,𗖵,bju¹,bu¹,1.03,P.,03.06A.4,1
981,5981,𗈪,ꞏja,a?,0,D1,03.06A.4,2
982,2064,𗢵,wor¹,rvwo̱r¹,1.89,起,03.06A.4,3
983,3306,𗤔,mju²,mu²,2.03,舞,03.06A.4,4
984,5113,𘃡,wji¹,vi¹,1.10,為1,03.06A.4,5
985,5442,𘏸,śiə¹,ṣaə̱¹,1.28,師,03.06A.4,6
986,2219,𘊐,kjij¹,ke¹,1.36,經,03.06A.4,7
987,945,𗕣,tshjạ¹,tshah¹,1.64,怒,03.06A.4,8
988,1685,𗍠,khjĩ¹,khiṃ¹,1.16,琴,03.06A.4,9
989,5880,𗳒,ŋwu²,ŋwu̱²,2.01,而,03.06A.4,10
990,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.06A.4,11
991,3379,𗺹,xew¹,hi̱w¹,1.43,侯,03.06A.4,12
992,1139,𗗙,ꞏjij¹,ye¹,1.36,P.,03.06A.4,13
993,1326,𘙌,kjɨ¹,kə¹,1.30,D1,03.06A.4,14
994,500,𘄩,tsjụ¹,tsuh¹,1.59,撞,03.06A.4,15
995,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.06A.5,1
996,3379,𗺹,xew¹,hi̱w¹,1.43,侯,03.06A.5,2
997,5981,𗈪,ꞏja,a?,0,D1,03.06A.5,3
998,945,𗕣,tshjạ¹,tshah¹,1.64,怒,03.06A.5,4
999,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.06A.5,5
1000,5871,𘒫,ze̱w²,nzi̱w²,2.41,派,03.06A.5,6
1001,5442,𘏸,śiə¹,ṣaə̱¹,1.28,師,03.06A.5,7
1002,2219,𘊐,kjij¹,ke¹,1.36,經,03.06A.5,8
1003,1139,𗗙,ꞏjij¹,ye¹,1.36,P.,03.06A.5,9
1004,5754,𗯹,lju²,lu²,2.03,捕1,03.06A.5,10
1005,749,𗟻,phji¹,phi¹,1.11,使1,03.06A.5,11
1006,5442,𘏸,śiə¹,ṣaə̱¹,1.28,師,03.06A.5,12
1007,2219,𘊐,kjij¹,ke¹,1.36,經,03.06A.5,13
1008,1822,𗖸,ŋwu̱¹,ŋŋwu̱¹,1.05,曰,03.06A.5,14
1009,1045,𘒣,dạ²,da̱h²,2.56,曰,03.06A.5,15
1010,5981,𗈪,ꞏja,a?,0,一,03.06A.6,1
1011,3195,𗣃,gjwi²,gwi²,2.10,句,03.06A.6,2
1012,1012,𗰣,zjịj¹,zeh¹,1.61,幾,03.06A.6,3
1013,5612,𘎪,tshji̱j¹,ntshe¹,1.39,說1,03.06A.6,4
1014,322,𘘦,tśhjwo¹,tśhwow¹,1.48,方,03.06A.6,5
1015,4841,𘗐,djij²,de²,2.33,D2,03.06A.6,6
1016,5918,𗈶,sjɨ¹,sə¹,1.30,死2,03.06A.6,7
1017,2098,𗧓,ŋa²,ŋa̱²,2.14,1SG,03.06A.6,8
1018,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.06A.6,9
1019,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.06A.6,10
1020,3379,𗺹,xew¹,hi̱w¹,1.43,侯,03.06A.6,11
1021,1045,𘒣,dạ²,da̱h²,2.56,曰,03.06A.6,12
1022,5688,𘕣,wa²,vwa̱²,2.14,何,03.06A.6,13
1023,3974,𘀽,tshji̱²,ntshi²,2.12,說2,03.06A.6,14
1024,4601,𘉞,nja²,na²,2.17,2SG,03.06A.6,15
1025,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.06A.7,1
1026,5442,𘏸,śiə¹,ṣaə̱¹,1.28,師,03.06A.7,2
1027,2219,𘊐,kjij¹,ke¹,1.36,經,03.06A.7,3
1028,1045,𘒣,dạ²,da̱h²,2.56,曰,03.06A.7,4
1029,3508,𗂸,bji²,bi²,2.10,臣,03.06A.7,5
1030,4005,𘀲,khja²,kha²,2.17,桀,03.06A.7,6
1031,5646,𘏼,tśhjiw²,tśhiw²,2.40,紂,03.06A.7,7
1032,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,君,03.06A.7,8
1033,1326,𘙌,kjɨ¹,kə¹,1.30,D1,03.06A.7,9
1034,500,𘄩,tsjụ¹,tsuh¹,1.59,撞,03.06A.7,10
1035,2098,𗧓,ŋa²,ŋa̱²,2.14,1SG,03.06A.7,11
1036,3916,𗭪,sji²,si²,2.10,PERF,03.06A.7,12
1037,5643,𘖑,mjɨ¹,mə¹,1.30,不,03.06A.7,13
1038,3092,𗫶,djij²,de²,2.33,然,03.06A.7,14
1039,3939,𘝗,ꞏjiw¹,yiw¹,1.45,堯,03.06A.7,15
1040,4609,𗢄,śjwã²,śwaṃ²,2.24,舜,03.06B.1,1
1041,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,君,03.06B.1,2
1042,1139,𗗙,ꞏjij¹,ye¹,1.36,P.,03.06B.1,3
1043,1326,𘙌,kjɨ¹,kə¹,1.30,D1,03.06B.1,4
1044,500,𘄩,tsjụ¹,tsuh¹,1.59,撞,03.06B.1,5
1045,2098,𗧓,ŋa²,ŋa̱²,2.14,1SG,03.06B.1,6
1046,1943,𗅔,nja̱²,naw²,2.18,非,03.06B.1,7
1047,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.06B.1,8
1048,2872,𗩇,wẽ¹,vwi̱ṃ¹,1.15,文,03.06B.1,9
1049,3379,𗺹,xew¹,hi̱w¹,1.43,侯,03.06B.1,10
1050,1045,𘒣,dạ²,da̱h²,2.56,曰,03.06B.1,11
1051,500,𘄩,tsjụ¹,tsuh¹,1.59,撞,03.06B.1,12
1052,545,𗸦,dźjwu¹,dźwu¹,1.02,人,03.06B.1,13
1053,5856,𘕿,ɣa²,γa̱²,2.14,P.,03.06B.1,14
1054,5148,𘕋,dźjar²,dźih²,2.60,罪,03.06B.1,15
1055,5670,𘂬,ꞏo¹,γo̱¹,1.49,有,03.06B.2,1
1056,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.06B.2,2
1057,824,𗉮,tśhjɨ²,tśhə²,2.27,立,03.06B.2,3
1058,5417,𘃛,rjar²,rar²,2.74,即,03.06B.2,4
1059,1685,𗍠,khjĩ¹,khiṃ¹,1.16,琴,03.06B.2,5
1060,3406,𗃵,pjụ²,puh²,2.52,殿,03.06B.2,6
1061,1778,𗙼,ꞏju²,yu²,2.02,前,03.06B.2,7
1062,5397,𘏩,xjwɨ̣j²,feṃh²,2.55,懸,03.06B.2,8
1063,4069,𗗎,pjwɨ̱r¹,rpwər¹,1.92,諫,03.06B.2,9
1064,1910,𗅲,tjɨ̣j²,teṃh²,2.55,禮,03.06B.2,10
1065,795,𘙇,rjɨr²,rər²,2.77,D1,03.06B.2,11
1066,5113,𘃡,wji¹,vi¹,1.10,為1,03.06B.2,12
1067,3200,𗤁,tśhjiw¹,tśhiw¹,1.46,六,03.06B.2,13
1068,2937,𗂧,lhjịj²,lheh²,0,國,03.06B.2,14
1069,3139,𗤀,śjij¹,śe¹,1.35,代,03.06B.2,15
1070,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.06B.3,1
1071,508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.06B.3,2
1072,707,𗉔,tśjiw¹,tśiw¹,1.45,周,03.06B.4,1
1073,5218,𘏉,tśhjwo¹,tśhwow¹,1.48,昌,03.06B.4,2
1074,2489,𗏲,phej²,phe̱²,2.30,沛,03.06B.4,3
1075,2937,𗂧,lhjịj²,lheh²,0,國,03.06B.4,4
1076,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.06B.4,5
1077,508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.06B.4,6
1078,5493,𘟑,xã²,ha̱ṃ²,2.22,漢,03.06B.4,7
1079,2074,𗣛,kew¹,qi̱w¹,1.43,高,03.06B.4,8
1080,3788,𗥣,tsu²,tsu̱²,2.01,祖,03.06B.4,9
1081,3139,𗤀,śjij¹,śe¹,1.35,代,03.06B.4,10
1082,775,𗘼,gju̱¹,ŋgu¹,1.07,御,03.06B.4,11
1083,5442,𘏸,śiə¹,ṣaə̱¹,1.28,史,03.06B.4,12
1084,959,𗕔,thej¹,the̱¹,1.33,大,03.06B.4,13
1085,3118,𗥑,xu¹,hu̱¹,1.01,夫,03.06B.4,14
1086,5113,𘃡,wji¹,vi¹,1.10,為1,03.06B.4,15
1087,2074,𗣛,kew¹,qi̱w¹,1.43,高,03.06B.5,1
1088,3788,𗥣,tsu²,tsu̱²,2.01,祖,03.06B.5,2
1089,2513,𗏹,ꞏju²,yu²,2.02,常,03.06B.5,3
1090,2455,𗪯,gji²,gi²,2.10,妻,03.06B.5,4
1091,2129,𗦉,bjij²,be²,2.33,妻,03.06B.5,5
1092,1319,𘄴,tshji¹,tshi¹,1.11,戚,03.06B.5,6
1093,477,𘞽,zjɨ̣¹,zəh¹,1.69,氏,03.06B.5,7
1094,4950,𗑠,rjir²,rir²,2.72,P.,03.06B.5,8
1095,3627,𗧶,nji²,ni²,2.10,悄,03.06B.5,9
1096,3627,𗧶,nji²,ni²,2.10,悄,03.06B.5,10
1097,1097,𗰘,ꞏu²,γu̱²,2.01,戲,03.06B.5,11
1098,5993,𘂤,kha¹,qha̱¹,1.17,中,03.06B.5,12
1099,707,𗉔,tśjiw¹,tśiw¹,1.45,周,03.06B.5,13
1100,5218,𘏉,tśhjwo¹,tśhwow¹,1.48,昌,03.06B.5,14
1101,5402,𘖉,khjij²,khe²,2.33,至,03.06B.5,15
1102,1183,𘅣,dạ²,da̱h²,2.56,事,03.06B.6,1
1103,930,𘟣,dju¹,du¹,1.03,有1,03.06B.6,2
1104,2484,𘔼,nio̱w¹,nuo¹,1.57,故,03.06B.6,3
1105,2074,𗣛,kew¹,qi̱w¹,1.43,高,03.06B.6,4
1106,3788,𗥣,tsu²,tsu̱²,2.01,祖,03.06B.6,5
1107,3099,𗫻,dźji̱j¹,ndźe¹,1.39,居,03.06B.6,6
1108,5447,𘋩,do²,do̱²,2.42,P.,03.06B.6,7
1109,795,𘙇,rjɨr²,rər²,2.77,D1,03.06B.6,8
1110,2373,𗆐,ljịj²,lleh²,2.54,來,03.06B.6,9
1111,5402,𘖉,khjij²,khe²,2.33,至,03.06B.6,10
1112,5712,𘃪,dźjwa¹,dźwa¹,1.19,終,03.06B.6,11
1113,2797,𗣈,lho,lho̱?,0,出,03.06B.6,12
1114,1101,𗗟,ꞏjij¹,ye¹,1.36,FUT,03.06B.6,13
1115,705,𘅍,zjịj¹,zeh¹,1.61,時,03.06B.6,14
1116,2074,𗣛,kew¹,qi̱w¹,1.43,高,03.06B.6,15
1117,3788,𗥣,tsu²,tsu̱²,2.01,祖,03.06B.7,1
1118,4047,𗺌,rewr²,ri̱wr²,2.78,足,03.06B.7,2
1119,4058,𗺏,ꞏjɨj²,yeṃ²,2.37,襪,03.06B.7,3
1120,1918,𗅋,mji¹,mi¹,1.11,不,03.06B.7,4
1121,4956,𗔌,zjị²,zih²,2.60,穿,03.06B.7,5
1122,5880,𗳒,ŋwu²,ŋwu̱²,2.01,而,03.06B.7,6
1123,707,𗉔,tśjiw¹,tśiw¹,1.45,周,03.06B.7,7
1124,5218,𘏉,tśhjwo¹,tśhwow¹,1.48,昌,03.06B.7,8
1125,1139,𗗙,ꞏjij¹,ye¹,1.36,P.,03.06B.7,9
1126,804,𗌽,djɨ²,də²,2.28,D1,03.06B.7,10
1127,5754,𗯹,lju²,lu²,2.03,捕1,03.06B.7,11
1128,4895,𗒕,ljwịj¹,lweh¹,1.61,頸,03.06B.7,12
1129,89,𗀔,tśhja̱¹,tśhaw¹,1.21,P.,03.06B.7,13
1130,2396,𗶠,dzu̱²,ndzu̱²,2.05,坐,03.06B.7,14
1131,5113,𘃡,wji¹,vi¹,1.10,為1,03.06B.7,15
1132,1045,𘒣,dạ²,da̱h²,2.56,曰,03.07A.1,1
1133,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.07A.1,2
1134,2098,𗧓,ŋa²,ŋa̱²,2.14,1sg,03.07A.1,3
1135,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,君,03.07A.1,4
1136,5113,𘃡,wji¹,vi¹,1.10,為1,03.07A.1,5
1137,582,𘝶,thjij²,the²,2.33,何,03.07A.1,6
1138,3211,𗦜,sjo²,so²,2.44,云,03.07A.1,7
1139,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.07A.1,8
1140,707,𗉔,tśjiw¹,tśiw¹,1.45,周,03.07A.1,9
1141,5218,𘏉,tśhjwo¹,tśhwow¹,1.48,昌,03.07A.1,10
1142,1045,𘒣,dạ²,da̱h²,2.56,曰,03.07A.1,11
1143,510,𘓺,ŋwər¹,rŋwə̱r¹,1.84,皇,03.07A.1,12
1144,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,帝,03.07A.1,13
1145,4005,𘀲,khja²,kha²,2.17,桀,03.07A.1,14
1146,5646,𘏼,tśhjiw²,tśhiw²,2.40,紂,03.07A.1,15
1147,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,君,03.07A.2,1
1148,290,𗍊,sju²,su²,2.03,如,03.07A.2,2
1149,4601,𘉞,nja²,na²,2.17,2SG,03.07A.2,3
1150,5285,𘃞,ljɨ¹,lə¹,1.29,也,03.07A.2,4
1151,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.07A.2,5
1152,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,君,03.07A.2,6
1153,4342,𗞞,dja²,da²,2.17,D1,03.07A.2,7
1154,5921,𘋞,zar²,rza̱r²,2.73,恥,03.07A.2,8
1155,1245,𘝵,ꞏjij¹,ye¹,1.36,自,03.07A.2,9
1156,374,𗳜,lhji̱¹,nlhi¹,1.14,退,03.07A.2,10
1157,5354,𘌽,thjɨ²,thə²,2.28,此,03.07A.2,11
1158,1183,𘅣,dạ²,da̱h²,2.56,事,03.07A.2,12
1159,2104,𗪘,śji¹,śi¹,1.10,先,03.07A.2,13
1160,5493,𘟑,xã²,ha̱ṃ²,2.22,漢,03.07A.2,14
1161,3139,𗤀,śjij¹,śe¹,1.35,代,03.07A.2,15
1162,4797,𘝞,ꞏjwɨr²,rywər²,2.77,文,03.07A.3,1
1163,5993,𘂤,kha¹,qha̱¹,1.17,中,03.07A.3,2
1164,5612,𘎪,tshji̱j¹,ntshe¹,1.39,說1,03.07A.3,3
1165,1013,𘄀,tśju¹,tśu¹,1.02,朱,03.07A.4,1
1166,3119,𗫔,ꞏji¹,yi¹,1.11,雲,03.07A.4,2
1167,1906,𗅉,niow¹,nuo¹,1.57,後,03.07A.4,3
1168,2639,𗦻,mji̱j²,mme²,2.35,名,03.07A.4,4
1169,5925,𘕘,tsə¹,tsə̱¹,1.27,字,03.07A.4,5
1170,997,𗰔,ꞏjiw²,yiw²,2.40,游,03.07A.4,6
1171,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.07A.4,7
1172,3566,𗥡,lu²,lu̱²,2.01,魯,03.07A.4,8
1173,2937,𗂧,lhjịj²,lheh²,0,國,03.07A.4,9
1174,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.07A.4,10
1175,508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.07A.4,11
1176,5925,𘕘,tsə¹,tsə̱¹,1.27,字,03.07A.4,12
1177,997,𗰔,ꞏjiw²,yiw²,2.40,游,03.07A.4,13
1178,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,君,03.07A.4,14
1179,5447,𘋩,do²,do̱²,2.42,P.,03.07A.4,15
1180,1045,𘒣,dạ²,da̱h²,2.56,曰,03.07A.5,1
1181,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.07A.5,2
1182,3508,𗂸,bji²,bi²,2.10,臣,03.07A.5,3
1183,1139,𗗙,ꞏjij¹,ye¹,1.36,P.,03.07A.5,4
1184,2806,𗿢,zur²,rzu̱r²,2.69,敕,03.07A.5,5
1185,5205,𘟫,ɣạ¹,γa̱h¹,1.63,劒,03.07A.5,6
1186,804,𗌽,djɨ²,də²,2.28,D1,03.07A.5,7
1187,5644,𘎾,khjɨj¹,kheṃ¹,1.42,與2,03.07A.5,8
1188,1746,𘗯,ljo̱r¹,nllo̱r¹,1.94,諂,03.07A.5,9
1189,3508,𗂸,bji²,bi²,2.10,臣,03.07A.5,10
1190,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.07A.5,11
1191,448,𗖌,gjɨ²,gə²,2.28,一,03.07A.5,12
1192,1139,𗗙,ꞏjij¹,ye¹,1.36,P.,03.07A.5,13
1193,4225,𗜍,sja¹,sa¹,1.20,殺,03.07A.5,14
1194,4481,𗶷,śjɨ¹,śə¹,1.29,往2,03.07A.5,15
1195,2098,𗧓,ŋa²,ŋa̱²,2.14,1SG,03.07A.6,1
1196,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.07A.6,2
1197,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,君,03.07A.6,3
1198,1045,𘒣,dạ²,da̱h²,2.56,曰,03.07A.6,4
1199,441,𗖶,sjwɨ¹,swə¹,1.30,誰,03.07A.6,5
1200,508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.07A.6,6
1201,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.07A.6,7
1202,5925,𘕘,tsə¹,tsə̱¹,1.27,字,03.07A.6,8
1203,997,𗰔,ꞏjiw²,yiw²,2.40,游,03.07A.6,9
1204,1045,𘒣,dạ²,da̱h²,2.56,曰,03.07A.6,10
1205,1030,𘑲,tśjow¹,tśoṃ¹,1.56,張,03.07A.6,11
1206,775,𗘼,gju̱¹,ŋgu¹,1.07,禹,03.07A.6,12
1207,508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.07A.6,13
1208,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.07A.6,14
1209,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,君,03.07A.6,15
1210,685,𘄽,ŋạ²,ŋa̱h²,2.56,大,03.07A.7,1
1211,685,𘄽,ŋạ²,ŋa̱h²,2.56,大,03.07A.7,2
1212,945,𗕣,tshjạ¹,tshah¹,1.64,怒,03.07A.7,3
1213,5880,𗳒,ŋwu²,ŋwu̱²,2.01,而,03.07A.7,4
1214,1045,𘒣,dạ²,da̱h²,2.56,曰,03.07A.7,5
1215,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.07A.7,6
1216,998,𘘚,dzji̱j²,ndze²,2.35,師,03.07A.7,7
1217,276,𗸱,no²,no̱²,2.42,子,03.07A.7,8
1218,1857,𗳭,ꞏjijr²,ryer²,2.68,斬,03.07A.7,9
1219,3357,𗧠,kiẹj²,qae̱h²,2.53,欲,03.07A.7,10
1220,3583,𗫂,tja¹,ta¹,1.20,者,03.07A.7,11
1221,5918,𗈶,sjɨ¹,sə¹,1.30,死2,03.07A.7,12
1222,5148,𘕋,dźjar²,dźih²,2.60,罪,03.07A.7,13
1223,508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.07A.7,14
1224,1734,𘅇,tji¹,ti¹,1.11,勿,03.07A.7,15
1225,5791,𘐉,wjạ²,vah²,2.57,放,03.07B.1,1
1226,4601,𘉞,nja²,na²,2.17,2SG,03.07B.1,2
1227,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.07B.1,3
1228,824,𗉮,tśhjɨ²,tśhə²,2.27,立,03.07B.1,4
1229,5417,𘃛,rjar²,rar²,2.74,即,03.07B.1,5
1230,607,𘈑,mjɨr¹,rmər¹,1.86,人,03.07B.1,6
1231,1467,𗸆,khjow¹,khoṃ¹,1.56,強,03.07B.1,7
1232,1326,𘙌,kjɨ¹,kə¹,1.30,D1,03.07B.1,8
1233,5871,𘒫,ze̱w²,nzi̱w²,2.41,遣,03.07B.1,9
1234,3406,𗃵,pjụ²,puh²,2.52,殿,03.07B.1,10
1235,1778,𗙼,ꞏju²,yu²,2.02,前,03.07B.1,11
1236,4269,𗝿,tśhjij¹,tśhe¹,1.35,持,03.07B.1,12
1237,749,𗟻,phji¹,phi¹,1.11,使1,03.07B.1,13
1238,4225,𗜍,sja¹,sa¹,1.20,殺,03.07B.1,14
1239,1101,𗗟,ꞏjij¹,ye¹,1.36,FUT,03.07B.1,15
1240,705,𘅍,zjịj¹,zeh¹,1.61,時,03.07B.2,1
1241,1013,𘄀,tśju¹,tśu¹,1.02,朱,03.07B.2,2
1242,3119,𗫔,ꞏji¹,yi¹,1.11,雲,03.07B.2,3
1243,5643,𘖑,mjɨ¹,mə¹,1.30,不,03.07B.2,4
1244,303,𗳢,dźjij,dźe?,0,肯,03.07B.2,5
1245,3406,𗃵,pjụ²,puh²,2.52,殿,03.07B.2,6
1246,1778,𗙼,ꞏju²,yu²,2.02,前,03.07B.2,7
1247,4250,𗝠,sji¹,si¹,1.11,木,03.07B.2,8
1248,2787,𗺞,tụ¹,tu̱h¹,1.58,網,03.07B.2,9
1249,1326,𘙌,kjɨ¹,kə¹,1.30,D1,03.07B.2,10
1250,4401,𗜈,zow²,zo̱ṃ²,2.47,持,03.07B.2,11
1251,5981,𗈪,ꞏja,a?,0,D1,03.07B.2,12
1252,721,𗷷,lhjị²,lhih²,2.60,折,03.07B.2,13
1253,2019,𗋕,thja¹,tha¹,1.20,此,03.07B.2,14
1254,3589,𗿳,dzjɨj¹,dzeṃ¹,1.42,時,03.07B.2,15
1255,4456,𘴈,tha²,tha̱²,2.54,大,03.07B.3,1
1256,3508,𗂸,bji²,bi²,2.10,臣,03.07B.3,2
1257,493,𗸹,sjɨ²,sə²,2.28,辛,03.07B.3,3
1258,3094,𗫲,khjij¹,khe¹,1.36,慶,03.07B.3,4
1259,4807,𗒯,khji¹,khi¹,1.11,忌,03.07B.3,5
1260,4069,𗗎,pjwɨ̱r¹,rpwər¹,1.92,諫,03.07B.3,6
1261,1045,𘒣,dạ²,da̱h²,2.56,曰,03.07B.3,7
1262,510,𘓺,ŋwər¹,rŋwə̱r¹,1.84,皇,03.07B.3,8
1263,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,帝,03.07B.3,9
1264,1677,𘘖,ljị²,lih²,2.60,恩,03.07B.3,10
1265,2590,𗋚,wjɨ²,və²,2.27,D1,03.07B.3,11
1266,2180,𗫩,dźjɨr¹,rdźər¹,1.92,施,03.07B.3,12
1267,4601,𘉞,nja²,na²,2.17,2SG,03.07B.3,13
1268,1013,𘄀,tśju¹,tśu¹,1.02,朱,03.07B.3,14
1269,3119,𗫔,ꞏji¹,yi¹,1.11,雲,03.07B.3,15
1270,1139,𗗙,ꞏjij¹,ye¹,1.36,之,03.07B.4,1
1271,1045,𘒣,dạ²,da̱h²,2.56,言,03.07B.4,2
1272,3583,𗫂,tja¹,ta¹,1.20,者,03.07B.4,3
1273,1569,𗹐,twụ¹,twu̱h¹,1.58,直,03.07B.4,4
1274,5285,𘃞,ljɨ¹,lə¹,1.29,也,03.07B.4,5
1275,510,𘓺,ŋwər¹,rŋwə̱r¹,1.84,皇,03.07B.4,6
1276,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,帝,03.07B.4,7
1277,2590,𗋚,wjɨ²,və²,2.27,D1,03.07B.4,8
1278,293,𗡣,dze²,dzi̱²,2.07,察,03.07B.4,9
1279,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.07B.4,10
1280,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,帝,03.07B.4,11
1281,797,𗉣,phji¹,phi¹,1.11,謀,03.07B.4,12
1282,2590,𗋚,wjɨ²,və²,2.27,D1,03.07B.4,13
1283,374,𗳜,lhji̱¹,nlhi¹,1.14,退,03.07B.4,14
1284,824,𗉮,tśhjɨ²,tśhə²,2.27,立,03.07B.4,15
1285,5417,𘃛,rjar²,rar²,2.74,即,03.07B.5,1
1286,4342,𗞞,dja²,da²,2.17,D1,03.07B.5,2
1287,5791,𘐉,wjạ²,vah²,2.57,放,03.07B.5,3
1288,2920,𗂈,źjɨ̣¹,źəh¹,1.69,左,03.07B.5,4
1289,2547,𗼛,tśier¹,rtṣai̱r¹,1.78,右,03.07B.5,5
1290,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.07B.5,6
1291,3406,𗃵,pjụ²,puh²,2.52,殿,03.07B.5,7
1292,1147,𗇫,djị²,dih²,2.60,修1,03.07B.5,8
1293,2373,𗆐,ljịj²,lleh²,2.54,來,03.07B.5,9
1294,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,帝,03.07B.5,10
1295,1045,𘒣,dạ²,da̱h²,2.56,曰,03.07B.5,11
1296,1734,𘅇,tji¹,ti¹,1.11,勿,03.07B.5,12
1297,1147,𗇫,djị²,dih²,2.60,修1,03.07B.5,13
1298,4884,𗐱,nji²,ni²,2.10,2PL,03.07B.5,14
1299,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.07B.5,15
1300,3508,𗂸,bji²,bi²,2.10,臣,03.07B.6,1
1301,1139,𗗙,ꞏjij¹,ye¹,1.36,之,03.07B.6,2
1302,1569,𗹐,twụ¹,twu̱h¹,1.58,直,03.07B.6,3
1303,2149,𗏴,dźju¹,dźu¹,1.02,顯,03.07B.6,4
1304,3916,𗭪,sji²,si²,2.10,NOM,03.07B.6,5
1305,4841,𘗐,djij²,de²,2.33,D2,03.07B.6,6
1306,2226,𗨻,we²,vwi̱²,2.07,為,03.07B.6,7
1307,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.07B.6,8
1308,5493,𘟑,xã²,ha̱ṃ²,2.22,漢,03.07B.6,9
1309,546,𘈫,ꞏu²,γu̱²,2.01,武,03.07B.6,10
1310,5306,𘋨,dzjwɨ¹,dzwə¹,1.30,帝,03.07B.6,11
1311,3139,𗤀,śjij¹,śe¹,1.35,代,03.07B.6,12
1312,2541,𘓐,dzjwo²,dzwo²,2.44,人,03.07B.6,13
1313,508,𘟂,ŋwu²,ŋwu̱²,2.01,是,03.07B.6,14
1314,5354,𘌽,thjɨ²,thə²,2.28,此,03.07B.6,15
1315,1183,𘅣,dạ²,da̱h²,2.56,事,03.07B.7,1
1316,5493,𘟑,xã²,ha̱ṃ²,2.22,漢,03.07B.7,2
1317,3139,𗤀,śjij¹,śe¹,1.35,代,03.07B.7,3
1318,4797,𘝞,ꞏjwɨr²,rywər²,2.77,文,03.07B.7,4
1319,5993,𘂤,kha¹,qha̱¹,1.17,中,03.07B.7,5
1320,5612,𘎪,tshji̱j¹,ntshe¹,1.39,說1,03.07B.7,6
1321,2012,𗌃,tũ¹,tu̱ṃ¹,1.96,董,03.08A.1,1
1322,1363,𗘬,sjwa¹,swa¹,1.20,宣,03.08A.1,2
1323,1906,𗅉,niow¹,nuo¹,1.57,後,03.08A.1,3
1324,2639,𗦻,mji̱j²,mme²,2.35,名,03.08A.1,4
1325,4830,𗔗,śja̱²,śaw²,2.18,少,03.08A.1,5
1326,3789,𗦮,phjij¹,phe¹,1.36,平,03.08A.1,6
1327,1278,𘘣,ꞏjɨ²,yə²,2.28,謂,03.08A.1,7
1328,298,𘔜,tśhji¹,tśhiṃ¹,1.16,陳,03.08A.1,8
1329,5259,𘛫,ljiw¹,liw¹,1.45,留,03.08A.1,9
1330,2627,𗼻,ljɨ̣²,lləh²,2.61,地,03.08A.1,10
1331,5258,𘍞,iọ¹,γao̱h¹,1.71,方,03.08A.1,11
